time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-31 00:00:00+00:00,17,13,105,15
2024-02-01 00:00:00+00:00,21,12,88,16
2024-02-02 00:00:00+00:00,3,3,12,6
2024-02-03 00:00:00+00:00,15,5,69,5
2024-02-04 00:00:00+00:00,20,10,30,8
2024-02-05 00:00:00+00:00,17,13,56,17
2024-02-06 00:00:00+00:00,17,8,95,12
2024-02-07 00:00:00+00:00,11,8,63,16
2024-02-08 00:00:00+00:00,1,1,37,6
2024-02-09 00:00:00+00:00,3,3,54,8
2024-02-10 00:00:00+00:00,5,5,29,7
2024-02-11 00:00:00+00:00,13,4,29,7
2024-02-12 00:00:00+00:00,37,12,221,14
2024-02-13 00:00:00+00:00,9,6,318,11
2024-02-14 00:00:00+00:00,73,18,396,19
2024-02-15 00:00:00+00:00,47,18,209,14
2024-02-16 00:00:00+00:00,43,16,119,16
2024-02-17 00:00:00+00:00,34,13,110,1
2024-02-18 00:00:00+00:00,17,10,42,4
2024-02-19 00:00:00+00:00,31,17,95,17
2024-02-20 00:00:00+00:00,46,20,225,24
2024-02-21 00:00:00+00:00,34,20,128,22
2024-02-22 00:00:00+00:00,48,22,351,19
2024-02-23 00:00:00+00:00,37,16,172,26
2024-02-24 00:00:00+00:00,18,9,52,5
2024-02-25 00:00:00+00:00,4,4,34,5
2024-02-26 00:00:00+00:00,7,7,43,18
2024-02-27 00:00:00+00:00,28,15,29,16
2024-02-28 00:00:00+00:00,26,13,68,9
2024-02-29 00:00:00+00:00,9,3,56,9
